Tag señal,Origen,Locación,Lazo,Lazo típico,Servicio,Descripción,P&ID,Inf,Sup,Set Al,Un Ing,Tipo de I/O,Tipo de señal,destino,Controlador,HMI,Interbloqueos,Log de eventos,Tendencia,Histórico,Notas
XO-BOM026,VFD-026,CCM,A-001/003,Analizador1,BOMBA DE TRANSFERENCIA DE CAL BOM-026,COMANDO DE ARRANQUE,A2-2008-HD018,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XC-BOM026,VFD-026,CCM,A-001/003,Analizador1,BOMBA DE TRANSFERENCIA DE CAL BOM-026,COMANDO DE PARO,A2-2008-HD018,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XS-BOM026,VFD-026,CCM,A-001/003,Analizador1,BOMBA DE TRANSFERENCIA DE CAL BOM-026,CONSIGNA DE VELOCIDAD,A2-2008-HD018,,,,%,AO,4-20 mA,GAB-002,PLC-002,EST-001,,NO,SI,SI,
XO-BOM027,VFD-027,CCM,A-001/003,Analizador1,BOMBA DE TRANSFERENCIA DE CAL BOM-027,COMANDO DE ARRANQUE,A2-2008-HD018,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XC-BOM027,VFD-027,CCM,A-001/003,Analizador1,BOMBA DE TRANSFERENCIA DE CAL BOM-027,COMANDO DE PARO,A2-2008-HD018,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XS-BOM027,VFD-027,CCM,A-001/003,Analizador1,BOMBA DE TRANSFERENCIA DE CAL BOM-027,CONSIGNA DE VELOCIDAD,A2-2008-HD018,,,,%,AO,4-20 mA,GAB-002,PLC-002,EST-001,,NO,SI,SI,
AI-001,AIT-001,FLD,A-001/003,Analizador1,TANQUE DE HOMOGENIZACION TK-007,INDICACION ANALISIS PH,A2-2008-HD018,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-007,PLC-002,EST-001,,NO,SI,SI,
AAH-001,AIT-001,FLD,A-001/003,Analizador1,TANQUE DE HOMOGENIZACION TK-007,ALARMA ALTO PH,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
AI-003,AIT-003,FLD,A-001/003,Analizador1,TANQUE DE HOMOGENIZACION TK-008,INDICACION ANALISIS PH,A2-2008-HD018,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-007,PLC-002,EST-001,,NO,SI,SI,
AAH-003,AIT-003,FLD,A-001/003,Analizador1,TANQUE DE HOMOGENIZACION TK-008,ALARMA ALTO PH,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
AI-002,AIT-002,FLD,A-002/004,Analizador2,TANQUE DE HOMOGENIZACION TK-007,INDICACION ANALISIS SST,A2-2008-HD018,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-007,PLC-002,EST-001,,NO,SI,SI,
AAH-002,AIT-002,FLD,A-002/004,Analizador2,TANQUE DE HOMOGENIZACION TK-007,ALARMA ALTO SST,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
AI-004,AIT-004,FLD,A-002/004,Analizador2,TANQUE DE HOMOGENIZACION TK-008,INDICACION ANALISIS SST,A2-2008-HD018,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-007,PLC-002,EST-001,,NO,SI,SI,
AAH-004,AIT-004,FLD,A-002/004,Analizador2,TANQUE DE HOMOGENIZACION TK-008,ALARMA ALTO SST,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
XO-FCV012,FCV-012,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,COMANDO DE APERTURA,A2-2008-HD018A,,,,,DO,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
XC-FCV012,FCV-012,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,COMANDO DE CIERRE,A2-2008-HD018A,,,,,DO,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
ZIO-FCV012,FCV-012,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS VALVULA ABIERTA,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,I-31/32/33,SI,NO,NO,
ZIC-FCV012,FCV-012,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS VALVULA CERRADA,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,I-31/32/33,SI,NO,NO,
XLR-FCV012,FCV-012,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS MODO LOCAL/REMOTO,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
XO-FCV013,FCV-013,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,COMANDO DE APERTURA,A2-2008-HD018A,,,,,DO,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
XC-FCV013,FCV-013,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,COMANDO DE CIERRE,A2-2008-HD018A,,,,,DO,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
ZIO-FCV013,FCV-013,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS VALVULA ABIERTA,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,I-31/32/33,SI,NO,NO,
ZIC-FCV013,FCV-013,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS VALVULA CERRADA,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,I-31/32/33,SI,NO,NO,
XLR-FCV013,FCV-013,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS MODO LOCAL/REMOTO,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
XO-FCV014,FCV-014,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,COMANDO DE APERTURA,A2-2008-HD018A,,,,,DO,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
XC-FCV014,FCV-014,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,COMANDO DE CIERRE,A2-2008-HD018A,,,,,DO,Sink 24 VDC,JBI-007,PLC-002,EST-001,,SI,NO,NO,
ZIO-FCV014,FCV-014,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS VALVULA ABIERTA,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,I-31/32/33,SI,NO,NO,
ZIC-FCV014,FCV-014,FLD,A-002/004,Analizador2,LODOS HOMOGENIZADOS T-007 A BOM-028/029/030,STATUS VALVULA CERRADA,A2-2008-HD018A,,,,,DI,Sink 24 VDC,JBI-007,PLC-002,EST-001,I-31/32/33,SI,NO,NO,
