Tag_Sig,Origen,Tipo_IO,Tipo_Sig,Dest,Cntrl,Cable1,Par1,Par2,Cable2,Jborne1,Jborne2,Jborne3,Jborne4,JTS,c_bornes,b,Gborne1,Gborne2,Gborne3,Gborne4,GTS
LI-001,LIT-001,AI,A,JBI-001,PLC-001,CB-LIT-001-A-1,1,1,CB-JBI-001-A-1,1,2,3,NA,TS-A,3,3,1,2,3,NA,TS-A
LI-002,LIT-002,AI,A,JBI-001,PLC-001,CB-LIT-002-A-1,1,2,CB-JBI-001-A-1,4,5,6,NA,TS-A,3,6,4,5,6,NA,TS-A
LI-003,LIT-003,AI,A,JBI-001,PLC-001,CB-LIT-003-A-1,1,3,CB-JBI-001-A-1,7,8,9,NA,TS-A,3,9,7,8,9,NA,TS-A
LI-004,LIT-004,AI,A,JBI-001,PLC-001,CB-LIT-004-A-1,1,4,CB-JBI-001-A-1,10,11,12,NA,TS-A,3,12,10,11,12,NA,TS-A
LI-005,LIT-005,AI,A,JBI-001,PLC-001,CB-LIT-005-A-1,1,5,CB-JBI-001-A-1,13,14,15,NA,TS-A,3,15,13,14,15,NA,TS-A
PI-005,PIT-005,AI,A,JBI-001,PLC-001,CB-PIT-005-A-1,1,6,CB-JBI-001-A-1,16,17,18,NA,TS-A,3,18,16,17,18,NA,TS-A
PI-006,PIT-006,AI,A,JBI-001,PLC-001,CB-PIT-006-A-1,1,7,CB-JBI-001-A-1,19,20,21,NA,TS-A,3,21,19,20,21,NA,TS-A
PI-007,PIT-007,AI,A,JBI-001,PLC-001,CB-PIT-007-A-1,1,8,CB-JBI-001-A-1,22,23,24,NA,TS-A,3,24,22,23,24,NA,TS-A
PI-008,PIT-008,AI,A,JBI-001,PLC-001,CB-PIT-008-A-1,1,9,CB-JBI-001-A-1,25,26,27,NA,TS-A,3,27,25,26,27,NA,TS-A
PI-009,PIT-009,AI,A,JBI-001,PLC-001,CB-PIT-009-A-1,1,10,CB-JBI-001-A-1,28,29,30,NA,TS-A,3,30,28,29,30,NA,TS-A
PI-010,PIT-010,AI,A,JBI-001,PLC-001,CB-PIT-010-A-1,1,11,CB-JBI-001-A-1,31,32,33,NA,TS-A,3,33,31,32,33,NA,TS-A
